,id,category
0,DB00002,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic Agents; Antineoplastic Agents, Immunological; Antineoplastic and Immunomodulating Agents; Blood Proteins; Cancer immunotherapy; EGFR (Epidermal Growth Factor Receptor) inhibitors; Epidermal Growth Factor Receptor Antagonist; Globulins; HER1 Antagonists; Immunoglobulins; Immunoproteins; Immunotherapy; MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES; Narrow Therapeutic Index Drugs; Proteins; Serum Globulins"
1,DB00004,"ADP Ribose Transferases; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Bacterial Toxins; Biological Factors; Cancer immunotherapy; CD25-directed Cytotoxin; Cytokines; Enzymes; Enzymes and Coenzymes; Glycosyltransferases; Immunotherapy; Intercellular Signaling Peptides and Proteins; Interleukins; Lymphokines; Narrow Therapeutic Index Drugs; Pentosyltransferases; Peptides; Proteins; Recombinant Proteins; Toxins, Biological; Transferases"
2,DB00005,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Anti-Inflammatory Agents; Antibodies; Antirheumatic Agents; Biological Products; Biologics for Rheumatoid Arthritis Treatment; Dermatologicals; Disease-modifying Antirheumatic Agents; Immunoglobulin Constant Regions; Immunoglobulin Fc Fragments; Immunoglobulin Fragments; Immunoglobulin Isotypes; Immunologic Factors; Immunoproteins; Immunosuppressive Agents; Membrane Proteins; Peptides; Proteins; Tumor necrosis factor alpha (TNF-alpha) inhibitors; Tumor Necrosis Factor Blockers"
3,DB00011,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Antiviral Agents; Biological Factors; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Cytokines; Immunosuppressive Agents; Intercellular Signaling Peptides and Proteins; Interferon Type I; Interferons; Myelosuppressive Agents; Peptides; Proteins"
4,DB00013,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Biological Factors; Blood and Blood Forming Organs; Blood Proteins; Endopeptidases; Enzymes; Enzymes and Coenzymes; Fibrinolytic Agents; Hydrolases; Increased Thrombolysis; Peptide Hydrolases; Plasminogen Activators; Proteins; Serine Endopeptidases; Serine Proteases; Urokinase-Type Plasminogen Activator, antagonists & inhibitors"
5,DB00018,"Alfa Interferons; Amino Acids, Peptides, and Proteins; Biological Factors; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Cytokines; Immunosuppressive Agents; Intercellular Signaling Peptides and Proteins; Interferon alpha; Interferon Type I; Interferon-alpha; Interferons; Myelosuppressive Agents; Peptides; Proteins"
6,DB00020,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Carbohydrates; Colony-Stimulating Factors; Cytokines; Glycoconjugates; Glycoproteins; Granulocyte-Macrophage Colony-Stimulating Factor; Hematopoietic Cell Growth Factors; Immunologic Factors; Increased Myeloid Cell Production; Intercellular Signaling Peptides and Proteins; Leukocyte Growth Factor; Peptides; Proteins"
7,DB00024,"Agents used to treat hypothyroidism; Anterior Pituitary Lobe Hormones and Analogues; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Peptide Hormones; Pituitary and Hypothalamic Hormones and Analogues; Pituitary Hormones; Pituitary Hormones, Anterior; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins; Thyroid Products"
8,DB00038,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Cytokines; Intercellular Signaling Peptides and Proteins; Interleukins; Megakaryocyte Growth Factor; Peptides; Proteins"
9,DB00045,
