Epoch,TrainLoss,ValidationLoss,ValidationAccuracy
1,0.8764,0.3628,0.7918
2,0.2777,0.3381,0.8103
3,0.2173,0.2545,0.8415
4,0.1825,0.2843,0.8480
5,0.1802,0.3486,0.8111
6,0.1394,0.2700,0.8332
7,0.1302,0.2829,0.8444
8,0.1259,0.7220,0.7724
9,0.1296,0.2329,0.8791
10,0.1721,0.3235,0.8584
11,0.0829,0.2793,0.8642
12,0.0824,0.3565,0.8449
13,0.1575,0.2600,0.8799
14,0.0683,0.4144,0.8617
15,0.1668,0.2761,0.8830
16,0.0571,0.5085,0.8504
17,0.2301,0.3286,0.8904
18,0.0273,0.3865,0.8948
19,0.1896,0.3755,0.8772
20,0.0736,0.5849,0.8524
21,0.1162,0.5393,0.8696
22,0.1656,1.9225,0.8199
23,0.1321,0.4515,0.8943
24,0.0484,0.5903,0.8609
25,0.3441,0.7192,0.8810
26,0.0449,0.6276,0.8878
27,0.1506,1.3008,0.8638
28,0.1009,0.6668,0.8878
29,0.1041,1.5599,0.8760
30,0.1621,0.7454,0.8979
31,1.8079,3.4827,0.8606
32,0.2704,1.3963,0.8874
33,0.0645,1.8864,0.8949
34,0.1498,1.7150,0.8868
35,0.1347,1.8790,0.8929
36,0.3852,3.6643,0.8473
37,0.2350,1.4745,0.8945
38,0.0951,1.3499,0.9035
39,0.2292,1.7378,0.8943
40,0.1413,1.7385,0.8860
41,0.2066,2.9963,0.8704
42,0.1928,2.5624,0.8849
43,0.2186,2.3761,0.8835
44,0.1952,3.4227,0.8682
45,0.1683,1.7532,0.8894
46,0.1699,3.0286,0.8941
47,0.3965,2.1042,0.8982
48,0.0912,2.0154,0.8968
49,0.2051,2.6824,0.9033
50,0.2484,2.6757,0.8936
